Font,Mission_statement
Helvetica,To build the Web s most convenient  secure  cost effective payment solution  sector3
Helvetica,Uber is evolving the way the world moves  By seamlessly connecting riders to drivers through our apps  we make cities more accessible  opening up more possibilities for riders and more business for drivers  sector3
Helvetica,To be one of the world s leading producers and providers of entertainment and information  using its portfolio of brands to differentiate its content  services and consumer products  Producing unparalleled entertainment experiences based on its rich legacy of quality creative content and exceptional storytelling  sector3
Helvetica,To help bring creative projects to life Kickstarter helps artists  musicians  filmmakers  designers  and other creators find the resources and support they need to make their ideas a reality  To date  tens of thousands of creative projects sector3
Helvetica,To be a company that inspires and fulfills your curiosity  sector4
Helvetica,To improve its customers  financial lives so profoundly  they couldn t imagine going back to the old way  sector3
Helvetica,The Home Depot is in the home improvement business and our goal is to provide the highest level of service  the broadest selection of products and the most competitive prices  sector3
Helvetica,The School of Art Gallery   Museum collects  documents  preserves and interprets objects of educational and cultural value that are useful in teaching and research and enrich student experience by studying historical and contemporary works of art at first hand  It continues to strengthen and develop its holdings which are not only unique in Wales but of international importance and aim to be representative of the highest achievements of contemporary Welsh  British and International Graphic Art and Studio Ceramics  It maintains  develops and promotes the Art Collection as an important public resource  by exhibition  loan  reference  publication and through the dissemination of its research and scholarship  within the University it is actively used in training students who go on to become artists  art historians and museum curators  It offers primary research material for staff  student and public reference and a regular programme of public exhibitions from the Collection   All policy decisions and implementation of the available budget and resources are primarily and firstly committed for these purposes  The Mission Statement of the School of Art Gallery   Museum also accords with the Mission Statement of Aberystwyth University  within which it operates  All the activities relating to the School of Art Gallery   Museum befit a University department committed to excellence in research  scholarship and teaching  sector5
Helvetica,We will provide branded products and services of superior quality and value that improve the lives of the world s consumers  sector3
Helvetica,TO MAKE A DIFFERENCE WE DO DIFFERENT At the forefront of business and management education and research  it is our aim is to be a leading international business school  respected for our advocacy of responsible practices  and our desire to assist students  staff and the communities we serve  Our single minded aim is to make a difference by doing different  Our people Knowledgeable  experienced and approachable  our people are always on hand to provide friendly  helpful  expert advice  Our location Widely respected for its world leading research  Norwich is a safe  inspiring place to study and develop  both personally and professionally  Our facilities State of the art IT equipment  plus fully equipped classrooms provide the best possible learning experience  While an award winning campus and the impressive Sportspark ensure a well balanced academic and personal life  Our relationships Local  national and international businesses actively participate in our programmes through seminars  workshops  internships and the active recruitment of our students  Our research World leading research on contemporary business and management issues informs our teaching  equipping students with the knowledge and understanding they need to succeed  Our methods  Launched in 2012  the unique Norwich Business School Method produces high quality teaching and high quality assessment through advocating three actions in each area  Teaching Teaching via questions is encouraged as questions engage students by raising curiosity   Students are also  learning by doing  which aids understanding  Lecturers are encouraged to practice two types of teaching  Type 1 teaches students something they didn t know  Type 2 teaches students to challenge assumptions  that what they thought they knew  they didn t  Technology can make teaching more interesting and we encourage lecturers to use the internet  video clips  audience response systems and computerised simulations in presentations and seminars  sector5
Helvetica,As we live the promise in our second century  our vision is to inspire the human spirit through outstanding achievements in learning  discovery  and citizenship in a creative community  building one of the world s great universities for the public good  Our mission is to create and sustain a vibrant and supportive learning environment that discovers  disseminates  and applies new knowledge through teaching and learning  research and creative activity  community involvement  and partnerships  The University of Alberta gives a national and international voice to innovation in our province  taking a lead role in placing Canada at the global forefront  Our motto   Quaecumque vera Translated  quaecumque vera means  whatsoever things are true  and is taken from the Latin Vulgate version of the Bible  the Epistle of St  Paul to the Philippians  Chapter 4  Verse 8   Finally  brethren  whatsoever things are true  whatsoever things are honest  whatsoever things are just  whatsoever things are pure  whatsoever things are lovely  whatsoever things are of good report  if there be any virtue and there be any praise  think on these things   sector5
Helvetica,We believe it s important to give back to our communities  We ve been improving our customers  homes for over 50 years  and we re proud to contribute to local and national building projects that improve the quality of life and security for those who need it most  Homebuilding experts and top consumer magazines rank Therma Tru among the best entry door brands for quality  beauty and energy efficiency  We re proud to offer doors that our customers love   and that are respected in the building industry  Therma Tru is committed to the responsible use of natural resources in creating high performance entry and patio door systems  It was a bold innovation for the home building market when we introduced an entryway door that looked as beautiful as wood and was more durable  At Therma Tru  we have been revolutionizing the industry from the start a spirit you can continue to expect from the leading entry door brand most preferred by building professionals sector3
Helvetica,Monash University is committed to the highest quality in teaching  learning  research  and a wide range of professional and community activities  The university believes in the value of free and rational inquiry  and in the pursuit of knowledge as a key to understanding and improvement of the human condition  Monash students and its graduates are spirited and ready to take the initiative   they are self reliant  egalitarian  contemporary and international in perspective1  Faculty Values The Faculty of Medicine Nursing and Health Sciences highlights  its expectation of high standards of ethical behaviour from its staff and students  and the importance of embracing the principles of equity  egalitarianism and diversity  Faculty Vision The Faculty is dedicated to the pursuit of excellence and innovation in research and teaching  It aspires to leadership in all areas of research activity  and advocacy for policy   locally  nationally and internationally   to improve health and social outcomes and health inequalities  The Faculty is committed to maintaining Monash University as a leading international medical research university  recognised for the breadth and depth of its research  for its opportunities and commitment to postgraduate training  and as a thriving biotechnology hub  The Faculty is committed to the translation of our biomedical and public health research to health outcomes in partnership with our affiliated health care facilities and Medical Research Institutes  The Faculty is also committed to the internationalisation of research and teaching scholarship  and to knowledge generation  management and dissemination  producing graduates that embody the values of the Faculty and the University  The Faculty supports a management style that promotes autonomy and accountability  sector5
Helvetica,World Hepatitis Day has become a global day of action which unites policymakers  medical professionals and patients to raise awareness of the huge burden of viral hepatitis and to influence real change  in disease prevention and access to testing  treatment and care  Building on last year s successes  the theme of WHD2017 is  ELIMINATE HEPATITIS   This offers an opportunity for all stakeholders to be part of eliminating a group of diseases that are the leading cause for liver cancer in the world  Every activity that addresses viral hepatitis is a step towards eliminating it  Yet the elimination of this global epidemic is not just a public health goal   it is an individual goal for millions of men  women and children across the world   Every single person could be affected by viral hepatitis and we all have a part to play to achieve elimination  To highlight this  we re connecting the faces of real people to elimination of viral hepatitis through the  ShowYourFace campaign which calls on individuals to take a selfie and show the world how they are contributing to the elimination of viral hepatitis  Showing your face and participating in the online campaign is easy to do   just add your selfie to the  ShowYourFace gallery  sign the Thunderclap or share WHD social media graphics  However you plan to celebrate World Hepatitis Day this year  change is brought about thanks to actions across the globe  no matter how big or small  and the world coming together to boost the profile of viral hepatitis  Continued collaboration will be key to achieving our elimination goal and World Hepatitis Day remains the most important annual opportunity for us to do so  Join us on July 28th and help make a difference  sector5
Helvetica,Merseytravel is the Executive body that provides professional  strategic and operational transport advice to the Liverpool City Region Combined Authority to enable it to make informed decisions  It is also the delivery arm  making transport happen  Merseytravel s Vision is  A World Class integrated and sustainable transport system enabling a prosperous  inclusive and growing Liverpool City Region   Meeting the needs of our customers is central to everything we do   This means that engagement with our customers is key to understanding their needs  be they existing or potential customers   As such  we will continually review or methods  to ensure that the views of the whole community and all protected groups inform policy and delivery within the organisation  and embrace new technology and social media   sector5
Helvetica,The University pursues its vision by creating an academic community that educates the whole person within the Jesuit  Catholic tradition  making student learning our central focus  continuously improving our curriculum and co curriculum  strengthening our scholarship and creative work  and serving the communities of which we are a part in Silicon Valley and around the world  sector5
Helvetica,Academic advising at Kent State University supports the teaching and learning mission of the university by helping students understand the value of achieving their educational goals   Advising is an on going partnership among students  advisors  and the university community   The academic advising program at Kent State University aspires to be a nationally recognized model for academic advising excellence by focusing on  Collaborative partnerships Student access to deliberative meaningful purposeful academic advising  Degree completion  Continuous assessment Effective communication  sector5
Helvetica,KW Commercial is committed to excellence  KW Commercial  the commercial real estate arm of Keller Williams Realty  the world s largest real estate franchise by agent count  is no stranger to success  Our commercial team consists of the most knowledgeable  results driven brokers backed by the most innovative and scalable technology the commercial real estate industry has to offer  Our KW Commercial agents and brokers are held to the highest standard of business to exceed your needs  When you work with a KW Commercial broker  you aren t just working with a broker  you re hiring a vast network of dedicated real estate professionals  That s our commitment to you  sector3
Helvetica,Arcadia University provides a distinctively global  integrative  and personal learning experience for intellectually curious undergraduate and graduate students in preparation for a life of scholarship  service  and professional contribution  Arcadia University prepares students for life in a rapidly changing global society  As a comprehensive  independent institution  Arcadia offers men and women a broad range of undergraduate and graduate programs on its suburban Philadelphia campus and through The College of Global Studies  Arcadia University prides itself on meeting the changing educational  career  and developmental needs of students  alumni  and the local community while emphasizing the strengths of a liberal education  Non sectarian  with strong ties to the Presbyterian Church  Arcadia University is committed to serving students of all ages and cultural backgrounds  A dedicated community of teacher scholars  administrators  staff  trustees and students work in genuinely collegiality to create a climate for learning and personal growth based upon intellectual challenge and nurturing relationships  At Arcadia University  the following qualities define educational excellence  Skill in critical thinking and effective communication Mastery of a major field of knowledge Appreciation of multiple disciplinary perspectives and methods of understanding Proficiency in applying what is learned Ability to work productively in culturally heterogeneous groups Understanding of the integral relationships among the peoples of the world Commitment to ethical decision making and socially responsible community participation  sector5
Helvetica,to provide the highest level of service  the broadest selection of products and the most competitive prices  to create a company that would keep alive the values that were important to us  Values like respect among all people  excellent customer service and giving back to communities and society  sector3
Helvetica,we want to be the best financial services company in the world  Because of our great heritage and excellent platform  we believe this is within our reach and excellent platform  we believe this is within our reach  sector3
Helvetica,Connect  Protect  Explore and Inspire the World through Aerospace Innovation sector4
Helvetica, We fulfill the needs and fuel the potential of our guests  That means making Target your preferred shopping destination in all channels by delivering outstanding value  continuous innovation and exceptional experiences consistently fulfilling our Expect More  Pay Less  sector3
Helvetica,a place where efficient buying and operating practices give members access to unmatched savings  sector3
Helvetica,The UTC Aerospace Systems mission and operating principles work hand in hand to help ensure a clear focus and dynamic future for UTC Aerospace Systems  Simply stated  our mission is as follows   We strive to provide our customers with innovative aerospace technologies and integrated systems that advance the performance  safety and efficiency of commercial aviation  global defense and space exploration   Our Operating Principles   People  Integrity  Ideas and Performance   describe how we work together to accomplish our mission    sector4
Helvetica,We help people live longer  healthier  happier lives   We will be the easiest pharmacy retailer for customers to use  sector4
Helvetica, To be the world s premier consumer products company focused on convenient foods and beverages  We seek to produce healthy financial rewards to investors as we provide opportunities for growth and enrichment to our employees  our business partners and the communities in which we operate  And in everything we do  we strive for honesty  fairness and integrity   sector2
Helvetica,We are among the world s leading creators of programming and content across all media platforms  We work to deliver growth and superior returns to our stockholders and bring our global audiences the entertainment they want where they want it  sector3
Helvetica,Abbott is focused on advancing patient care by developing innovative solutions in diagnostics  medical devices  nutritionals and pharmaceuticals  sector4
Helvetica,We aspire to distinctively serve customers   those linked to the land   through a great business  a business as great as our products  To achieve this aspiration  our strategy is  Exceptional operating performance  Disciplined SVA growth  Aligned high performance teamwork  sector3
Helvetica,Become a market focused tire company providing superior products and services to end users and to our channel partners  leading to superior returns for our shareholders  sector3
Helvetica,Our vision is to maximize shareholder value by enhancing financial performance and providing long term profitable growth  sector3
Helvetica,To be consistently recognized by our  Customers  Employees  Shareholders  Suppliers  and Communities as the company of first choice  Exceed our Customers needs and expectations  by  Delivering the highest quality products and services  Conducting our business with humility and integrity  Continually improving our operating efficiency  Provide our Employees  our most valuable resource  with an environment that  Treats all individuals with dignity and respect  Allows everyone to reach their full potential  Encourages inclusion and active participation  Is safe and clean  Maximize value for our Shareholders  Treat our Suppliers with respect and nurture mutually beneficial relationships  Support the Communities where we do business  sector3
Helvetica,The safety of our employees and our operations as a core business value  Producing environmentally clean products in environmentally clean facilities  Aggressively pursuing growth opportunities  both domestically and internationally  Continued development of all employees  our number one asset  Providing a challenging  rewarding environment that facilitates creative thinking  teamwork and open communications  Customer satisfaction by providing reliable and responsive products and services  Ensuring a positive retail experience for consumers by focusing on convenience  value and quality service  Taking a leadership role in our communities by providing company support and encouraging employee involvement  sector3
Helvetica,Our off price mission is to deliver a rapidly changing assortment of quality  brand name merchandise at prices that are 20   60  less than department and specialty store regular prices  every day  sector3
Helvetica,Delivering What s Important  Our vision is to realize the tremendous potential of The Burlington Northern and Santa Fe Railway by providing transportation services that consistently meet our customers  expectations  sector3
Helvetica,Arrow s vision is to be the Clear  1 worldwide provider of products  services and solutions that connects technology with customers  powers the supply chain and delivers premium investment results  sector3
Helvetica,To be a recognized leader in specialty insurance and financial services that provide peace of mind products to our customers  We deliver superior value through innovative and differentiated solutions that advance and secure the lives of our customers  sector3
Helvetica,To be the best performing industrial gases company in the world as determined by our customers  employees  shareholders  suppliers and the communities in which we operate  sector3
Helvetica,High tech solutions for professional farmers feeding the world  Profitable growth through superior customer service  innovation  quality and commitment  sector4
Helvetica Neue,To be the premier transportation police department in the nation  Our mission is to safeguard the lives and property of the people we serve while maintaining the highest standards of professionalism and integrity throughout the metropolitan region   Leadership  To set by example the standards we expect others to follow  Integrity  To maintain the highest ethical principles  Diversity  To respect individual differences as a source of our strength  Performance  To strive for continuous improvement through our commitment to quality public service  Empowerment  To encourage responsible decision making at all levels  Professionalism  To always conduct ourselves in a manner that merits respect and confidence sector3
Helvetica Neue,People understand that food is a source of nourishment and satisfaction  but also pleasure  health  happiness and peace of mind  They are increasingly aware that their food and beverage choices can impact their quality of life and affect the lives of others  Innovation has been at the heart of our company since its beginning  Ever since Henri Nestl  invented Farine Lact e to alleviate infant mortality  we have been dedicated to enhance people s lives  Each day we strive to make our products tastier and healthier choices that help consumers care for themselves and their families  This would not be possible without our unmatched R D capability  nutrition science and passion for quality in everything we do  We have the largest R D network of any food company in the world  with 34 R D facilities  3 Science   Research centres and 31 Product Technology Centres and R D centres worldwide   and over 5 000 people involved in R D  Behind every one of Nestl  s products there is a team of scientists  engineers  nutritionists  designers  regulatory specialists and consumer care representatives dedicated to earn our consumers  trust with safe products of the highest quality  at Nestl   safety and quality are non negotiable  Whether it is in terms of convenience  health or pleasure  we are able and committed to create trustworthy products  systems and services that contribute to improving the quality of consumers  lives  sector3
Helvetica Neue,Our aim is to keep alive for posterity the knowledge and technology of historic aviation  sector4
Helvetica Neue,Delight our customers  employees  and shareholders by relentlessly delivering the platform and technology advancements that become essential to the way we work and live  sector4
Helvetica Neue,We believe in what people make possible Our mission is to empower every person and every organization on the planet to achieve more  another vision To enable people and businesses throughout the world to realize their full potential sector4
Helvetica Neue,The BMW brand stands for one thing  sheer driving pleasure  Sporting and dynamic performance combined with superb design and exclusive quality  sector4
Helvetica Neue,3M is committed to actively contributing to sustainable development through environmental protection  social responsibility and economic progress  another version To Improve Every Life through Innovative Giving in Education  Community and the Environment  sector4
Helvetica Neue,A better life  a better world  Panasonic is committed to creating a better life and a better world  continuously contributing to a better society and the happiness of people around the globe  Recognising our responsibilities as industrialists we will devote ourselves to the development of society and the wellbeing of people through our business and thereby enhancing the quality of life throughout the world  Progress and development can be realised only through the combined efforts and cooperation of each employee of our company  United in spirit  we pledge to perform our corporate duties with dedication  diligence and integrity  sector4
Helvetica Neue,Changing Lives One at a Time  Tupperware Brands  growth comes from its worldwide sales force  and for over 65 years we have made an unwavering commitment to Enlighten  Educate and Empower women and their families across the globe  We are passionate about changing lives and instilling confidence in every one of our more than 3 million sales force members Our Purpose  Inspire women to cultivate the confidence they need to enrich their lives  nourish their families  and fuel communities around the world  Our Vision  Ignite a global community  especially women  to realize their best selves through opportunity  enrichment  celebration  and above all else  uplifting relationships  We are committed to accelerating profitable revenue growth for the benefit of all our stakeholders  DRIVEN BY OUR VALUES  Our values are the foundation of what we believe and are passionate about achieving  Extend a hand  We lift each other up by empowering women everywhere through life changing opportunities that inspire them to realize their full potential and create their own path  Dream big  We re a company founded on innovation  We remain as committed as ever to bringing groundbreaking ideas  products and opportunities to the world  Succeed together  We re a diverse community that pulls together as a single  strong team  We collaborate freely and share in each other s achievements and success  creating our Chain of Confidence  Celebrate each other  We re invested in each other s success and know that every achievement is worth celebrating  We recognize milestones large and small  together as one community  Do right by others  We act and speak with integrity and never forget that we re accountable to the Tupperware Family of Sales Force  Associates  Consumers  and Investors   Our Strategic Blueprint  When we distil down our business model  there are four key elements which we have identified that are critical success drivers for every market s success  In essence  they are our formula  Our continued growth is not due to luck  it is because we understand how to execute this formula  Developing innovative products with great design  Creating entertaining selling situations  Offering our sales force compelling earning and leadership development opportunities  Employing dynamic direct selling fundamentals sector3
Helvetica Neue,A strong and stable leadership team  ambitious yet calculated decision making and ground breaking ideas all contribute to the creation of great companies  Of course  these have played a major part in our development  but we believe our business ethics are the foundation on which our success has been built  Caring for our employees and stakeholders  as well as the environment and the communities we serve  have played a huge part in our past and will continue to shape our future  sector3
Helvetica Neue,To satisfy customers  needs by providing them with a variety of good quality pies and confections at reasonable prices  and a high standard of customer service  sector3
Helvetica Neue,The mission of the company is to develop braking systems in carbon ceramic and to manufacturer and commercialise carbon ceramic brake discs exclusively for the automobile and commercial vehicle OEM markets  sector3
Helvetica Neue,American Airlines and American Eagle are in business to provide safe  dependable and friendly air transportation to our customers  along with numerous related services  and comfortable sector3
Helvetica Neue,aimed at building a deeper  more enduring relationship with our customers  increasing the engagement and retention of our Associates  and delivering industry leading financial performance to our shareholders   sector3
Helvetica Neue,values We believe in free expression and think every voice has the power to impact the world  mission To give everyone the power to create and share ideas and information instantly  without barriers  image We are transparent about our political activity and contributions  sector3
Helvetica Neue,To be the catalyst in communities of customers  contributors  and partners creating better technology the open source way  sector4
Helvetica Neue,Establish Starbucks as the premier purveyor of the finest coffee in the world while maintaining our uncompromising principles while we grow  sector3
Helvetica Neue,To prevent and alleviate human suffering in the face of emergencies by mobilizing the power of volunteers and the generosity of donors  sector5
Helvetica Neue,To follow our Lord and Saviour Jesus Christ in working with the poor and oppressed to promote human transformation  seek justice and bear witness to the good news of the Kingdom of God sector5
Helvetica Neue,Bring inspiration and innovation to every athlete in the world  If you have a body  you are an athlete  sector3
Helvetica Neue,To inspire healthier communities by connecting people to real food  sector3
Helvetica Neue,Spread ideas  Spread ideas TED is a global community  welcoming people from every discipline and culture who seek a deeper understanding of the world   sector5
Helvetica Neue,The Center for Science and Social Science Information provides Yale faculty  students  and staff with state of the art information services in a technology rich environment  It is designed to provide easily accessible support for science  social science and interdisciplinary researchers    sector4
Helvetica Neue,44RPM is a collection of lasercut toys exploring the idea of construction   creation as play  Half model kit  half skill toy  they transform from a flat wooden disc into elegant  functional reimaginings of classic toys  sector3
Helvetica Neue,A Leader A leading manufacturer in the printer  professional imaging  projector  scanner  system devices  and factory automation categories  An Innovator Delivering high performance products  services and solutions that exceed our customers  expectations  A Partner Going the extra mile to build long lasting relationships with our end users  our co workers and our accounts  sector4
Helvetica Neue,The Calgary Rural Primary Care Network  CRPCN  is a not for profit organization and joint venture with Alberta Health Services  AHS   The goal of the CRPCN is to promote primary health care services in rural Alberta through working with our partners and community stakeholders  The CRPCN has been operating since 2006 and works together with local rural family doctors and AHS in the communities of Black Diamond  Bragg Creek  Chestermere  Claresholm  Eden Valley  a community of the Stoney First Nation   High River  Lake Louise  Nanton  Okotoks  Siksika First Nation  Gleichen  Strathmore  Langdon and Vulcan  The CRPCN represents 33 clinics  over 135 physicians  and serves more than 130 000 residents in the area   Working to improve the overall health of the community and quality of primary health care services  the CRPCN features local health care members that work together to coordinate existing services  lead new initiatives  and monitor performance of creating an exceptional Medical Home experience  Through facilitating offering services related to nutrition  exercise  and other areas of health management  the CRPCN hopes to encourage multidisciplinary care for rural communities  Check out our programs page for more information   The CRPCN provides new ways for health care members to collaborate in improving health  preventing illness  and providing access to appropriate health services by encouraging ongoing dialogue between family doctors  AHS and community partners   sector3
Helvetica Neue,To stop the degradation of the planet s natural environment and to build a future in which people live in harmony with nature  by           conserving the world s biological diversity          ensuring that the use of renewable natural resources is sustainable          promoting the reduction of pollution and wasteful consumption  To guide WWF in its task of achieving the mission  the following principles have been adopted  WWF will           be global  independent  multicultural and non party political          use the best available scientific information to address issues and critically evaluate all its endeavours          seek dialogue and avoid unnecessary confrontation          build concrete conservation solutions through a combination of field based projects  policy initiatives  capacity building and education work          involve local communities and indigenous peoples in the planning and execution of its field programmes  respecting their cultural as well as economic needs          strive to build partnerships with other organizations  governments  business and local communities to enhance WWF s effectiveness          run its operations in a cost effective manner and apply donors  funds according to the highest standards of accountability  sector5
Helvetica Neue,provide excellent teaching  research  and service  The University educates students and advances knowledge in areas of importance to the State  the nation  and the world  The University is committed to being a preeminent national center for research and for graduate education  and the institution of choice for Maryland s undergraduates of exceptional ability and promise  sector5
Helvetica Neue,We will provide branded products and services of superior quality and value that improve the lives of the world s consumers  As a result  consumers will reward us with leadership sales  profit  and value creation  allowing our people  our shareholders  and the communities in which we live and work to prosper sector3
Helvetica Neue,Lowe s Vision is to be our Customers  first choice for home improvement in each and every market we serve  To earn our Customers  trust and meet their individual needs  we will provide valued solutions with the best prices  products and services that make our Customers  lives easier  sector3
Helvetica Neue,To unlock the potential of nature to improve the quality of life  sector3
Helvetica Neue,Sears Holdings is committed to improving the lives of our customers by providing quality services  products and solutions that earn their trust and build lifetime relationships  Build customer relationships  Make more money  Improve every day  sector3
Helvetica Neue,My mission is to help clients pursue financial success by offering professional guidance and high quality insurance and financial products to build  protect and pass on wealth  I am committed to being your most trusted financial professional by applying sound planning principles and lending encouragement  Every recommendation will be for the benefit of you   the client  sector3
Helvetica Neue, To be a source of excellence for our customers  to provide a challenging professional experience for our employees  to be a rewarding investment for our shareholders  to be a respected citizen of community and country  sector3
Helvetica Neue, At MassMutual  corporate responsibility is a fundamental part of who we are  we ve made people a priority  and today  that commitment to our policyowners and customers continues  It includes our employees and advisors  the communities where we live and work  and our environment  For us  it is about doing the right thing for the people who matter most  MassMutual is guided by a diverse team of executives  bringing deep and varied knowledge to the company s strategic plans and investment decisions  Through their commitment and example  these executives set and uphold the values that make MassMutual a leading corporate citizen in the community at large and a steadfast financial partner for its policyowners and customers   sector3
Helvetica Neue,Simply  to make it easy for you to express your personal style throughout your life  sector3
Helvetica Neue,Our success depends upon an unwavering focus on our customers  our people  and our financial performance  Dana will grow profitably in the world s vehicular markets and provide industry leading shareholder value   sector3
Helvetica Neue,To be the safest  most progressive North American railroad  relentless in the pursuit of customer and employee excellence   To be the safest  most progressive North American railroad  relentless in the pursuit of customer and employee excellence  sector3
Helvetica Neue,To be the world leader in products  services and solutions that enable and transform the way consumers and businesses gather  manage  distribute and communicate information  sector3
Helvetica Neue,is committed to supplying the consumer and our customers with the finest  high quality products and to leading the industry in nutrition research and education  sector3
Helvetica Neue,A compelling place to shop     by providing convenience and low prices  For Our Associates  A compelling place to work     by providing exceptional opportunities and rewards for achievement  For Our Investors  A compelling place to invest     by providing outstanding returns  sector3
Helvetica Neue,Mellon s mission is to become the best performing financial services company through building an attractive mix of fee  based businesses and aggressively managing capital for high returns  sector3
Helvetica Neue,Our mission is to create consistent value for our customers and supply chain partners that will maximize shareholder value and long term earnings growth  we will do this by managing our business with integrity and the highest ethical standards  while acting in a socially responsible manner with particular emphasis on the well being of our teammates and the communities we serve  sector3
